_id|sort_order|name|name_de|name_fr|name_es|name_it|name_ja|goal|goal_de|goal_fr|goal_es|goal_it|goal_ja|hub|type|rank|goal_type|hunter_type|stars|location_id|time_limit|fee|reward|hrp|sub_goal|sub_goal_de|sub_goal_fr|sub_goal_es|sub_goal_it|sub_goal_ja|flavor|flavor_de|flavor_fr|flavor_es|flavor_it|flavor_ja|sub_reward|sub_hrp|permit_monster_id|metadata
204|10|Harvest Tour: Arctic Ridge|Erntetour: Schneegebirge|Visite : Crête arctique|Recolección: Cimas Árticas|Tour: Monte artico||Survive until time expires or deliver a Paw Pass Ticket|Überlebe bis Zeitende oder gib einen Tatzenpass ab.|Temps expiré ou livrer un ticket Passechat|Aguanta hasta que acabe el tiempo o da un ticket zarpa|Sopravvivi fino allo scadere o consegna buono pass-zampa||Village|0|LR|3|0|2|3|50|0|12|0|None|-|Rien|Ninguno|Nessuno||Time to do some daytime gathering up on the Arctic Ridge! Just be sure to leave some for the tourists, eh? Once you're all set, just deliver the Paw Pass Ticket that's inside the Supply Box!|Lass uns das Tageslicht nutzen, um im Schneegebirge sammeln zu gehen. Nimm, was immer du magst. Wenn du fertig bist, gib einfach den Tatzenpass ab, den du in der Vorratsbox findest.|Profitez du soleil pour faire une collecte sur la Crête arctique. Prenez tout ce qui vous inspire, puis livrez le ticket Passechat qui se trouve dans la boîte à fournitures.|Hora de hacer un poco de recogida diurna por las Cimas Árticas. ¡Coge lo que quieras! Y al acabar, mete el ticket zarpa en la caja de suministros, y ¡listos!|Che ne dici di raccogliere materiali nella tundra? Prendi tutto ciò che vuoi, senza problemi! Quando ne avrai abbastanza, consegna il buono pass-zampa nella cassa scorte!||0|0|0|0
205|11|Harvest Tour: Misty Peaks|Erntetour: Nebelgipfel|Visite : Pics brumeux|Recolección: Picos Nublados|Tour: Cime nebbiose||Survive until time expires or deliver a Paw Pass Ticket|Überlebe bis Zeitende oder gib einen Tatzenpass ab.|Temps expiré ou livrer un ticket Passechat|Aguanta hasta que acabe el tiempo o da un ticket zarpa|Sopravvivi fino allo scadere o consegna buono pass-zampa||Village|0|LR|3|0|2|4|50|0|12|0|None|-|Rien|Ninguno|Nessuno||You are keen to gather materials from the Peaks. The Guild will cover your flight expenses, so gather all you wish. Once finished, you will deliver the Paw Pass Ticket inside the Supply Box.|Ich seh schon, dass du wild darauf bist, Materialien zu sammeln. Die Gilde wird die Kosten übernehmen, also hol alles, was du magst! Wenn du fertig bist, gib den Tatzen- pass aus der Vorratsbox ab.|Vous avez envie de chercher des matériaux ? C'est la Guilde qui régale, alors faites-vous plaisir ! Et pensez à livrer le ticket Passechat de la boîte à fournitures une fois terminé.|Se te nota que tienes ganas de ir a buscar materiales. Bueno, el gremio pagará los gastos, así que coge lo que quieras. Cuando acabes, mete el ticket zarpa en la caja de suministros. Y ya.|Oh, non vedi l'ora di raccogliere materiali, eh? La Gilda coprirà i costi, tu arraffa a volontà! Consegna il buono pass-zampa nella cassa scorte quando avrai finito!||0|0|0|0
206|12|Vaulting Outlaw|Springender Schurke|Donnant-donnant|Forajido a por todas|Agile fuorilegge||Hunt a Great Maccao|Erjage einen Groß-Maccao.|Chasser 1 Grand Maccao|Caza un Gran Maccao|Caccia un Gran Maccao||Village|2|LR|0|0|2|1|50|100|900|70|Slay 5 Maccao|5 Maccaos erlegen|Tuer 5 Maccao|Abate a 5 Maccao|Uccidi 5 Maccao||We've had a request come in from the Wycademy asking you to hunt a Great Maccao. The beast has been terrorizing their research team. Take care of it and you'll be able to take on more difficult Quests.|Die Wykademie hat angefragt, ob du eventuell für sie einen Groß-Maccao jagen kannst. Die Bestie terrorisiert ihr Forscherteam. Kümmer dich darum, dann erhältst du Zugriff auf schwierigere Quests.|La Wycadémie nous demande de chasser le Grand Maccao qui terrorise les chercheurs. Occupez-vous-en et vous pourrez entreprendre des quêtes plus difficiles.|Los de la Wycademia nos han pedido que caces a un Gran Maccao. Esa bestia tiene aterrorizado a su equipo de investigadores. Ocúpate y podrás recibir misiones de mayor rango.|La Wyccademia ci ha chiesto di cacciare un Gran Maccao. La bestia sta terrorizzando la loro squadra di ricerca. Occupatene e mi assicurerò che ti vengano assegnate missioni più impegnative.||600|10|0|0
207|13|Rambunctious Rhenoplos|Raufsüchtiger Rhenoplos|Rhenoplos turbulents|Rhenoplos revoltosos|Rhenoplos scalmanato||Slay 5 Rhenoplos|Erlege 5 Rhenoplos.|Tuer 5 Rhenoplos|Abate a 5 Rhenoplos|Uccidi 5 Rhenoplos||Village|1|LR|1|0|2|1|50|50|600|40|None|-|Rien|Ninguno|Nessuno||The survey team's been having a lot of trouble -- Rhenoplos keep crashing into everything! All the repairs are takin' a huge chunk out of our budget. Those things have got to go! Can you help us out?|Wir haben große Probleme bei der Landvermessung. Rheno- plos rennen ständig alles um! Wir können uns die ständigen Reparaturen kaum noch leisten. Das kann so nicht weitergehen. Kannst du da nicht was machen?|Notre équipe rencontre des difficultés à cause des Rhenoplos qui cassent notre matériel. Les réparations grèvent notre budget. Ces créatures sont de trop. Pouvez-vous nous aider ?|El equipo de inspección tiene muchos problemas: ¡los Rhenoplos lo destruyen todo! Las reparaciones son carísimas. Hay que acabar con ellos, ¿nos ayudas?|La squadra rilevamenti è in seria difficoltà a causa dei Rhenoplos che hanno preso di mira l'attrezzatura! I costi per le riparazioni sono esorbitanti. Dobbiamo fermarli! Puoi aiutarci?||0|0|0|0
208|14|On the Rebound|Und direkt zurück|L'art de rebondir|Por despecho|Come il cacio sui Maccao||Slay 15 Maccao|Erlege 15 Maccaos.|Tuer 15 Maccao|Abate a 15 Maccao|Uccidi 15 Maccao||Village|0|LR|1|0|2|101|50|100|1200|40|Wound Great Maccao's head|Groß-Maccao-Kopf verletzen|Blesser la tête d'un Grand Maccao|Hiere Gran Maccao en la cabeza|Ferisci la testa del Gran Maccao||Recently, there have been a lot of Maccao attacks in the Jurassic Frontier. It's becoming a real problem to anyone who ventures out there. Could you put a stop to those hopping hooligans?|Die ständigen Maccao- Angriffe im Jura-Grenzland werden zu einem echten Problem für alle Reisenden. Kannst du diesen rum- hopsenden Rabauken nicht irgendwie Einhalt gebieten?|Les attaques des Maccao se sont multipliées sur la Frontière jurassique. Ceux qui s'y aventurent ne se sentent plus en sécurité. Pourriez-vous neutraliser ces vandales bondissants ?|Recientemente ha habido muchos ataques de Maccao en la Fronda Arcaica. Es un problema para todos los que salen. ¿Podrías acabar con esos vándalos alocados?|Gli attacchi di Maccao nella frontiera giurassica sono sempre più frequenti. È un problema per chiunque si avventuri in quelle zone. Potresti dare una lezione a quei mascalzoni salterini?||300|10|0|0
209|15|A Berry Good Idea|Eine beer gute Idee|Je vous dérange ?|Baya buena idea|Un'idea succosa||Deliver 3 Ancient Berries|Liefere 3 Uralte Beeren ab.|Livrer 3 baies ancestrales|Entrega 3 bayas viejas|Consegna 3 bacche antiche||Village|0|LR|3|0|2|1|50|100|900|50|Deliver 2 Water Lily Roots|2 Seerosenwurzeln abliefern|Livrer 2 racines de nénuphar|Entrega 2 raíces de nenúfar|Consegna 2 radici di ninfea||"My wife has her heart set on eating some Ancient Berries despite them being really hard to get. I heard Larinoths drop them if you ""interrupt"" them while they eat. Up for some ""interrupting?"""|"Meine Frau hat es sich in ihren sturen Kopf gesetzt, Uralte Beeren zu essen. Die bekommt man aber nur, wenn man Larinoths beim Essen ""unterbricht"". Könntest du mir vielleicht dabei helfen?"|Ma femme s'est mis en tête de manger des baies ancestrales. Or, il est très difficile de s'en procurer autrement qu'en interrompant des Larinoth en train de manger. Ça vous fait peur ?|Mi esposa está emperrada en comer bayas viejas, pero cuesta encontrarlas. He oído que los Larinoth las sueltan si los interrumpen cuando comen. ¿Te apetece interrumpirlos un poco?|"Mia moglie gradirebbe molto assaggiare delle bacche antiche, ma sono difficili da reperire. Sembra che i Larinoth le lascino cadere se li ""interrompi"" mentre mangiano. Vuoi occupartene?"||300|10|0|4
210|16|A Fern is Forever|Ewiger Farn|Fougère éternelle|Un helecho es para siempre|Una felce è per sempre||Deliver 20 Unique Ferns|Liefere 20 Einmalige Farne ab.|Livrer 20 fougères uniques|Entrega 20 helechos únicos|Consegna 20 felci speciali||Village|0|LR|3|0|2|101|50|100|1200|40|Deliver 5 Abyssal Mushrooms|5 Unheil-Pilze abliefern|Livrer 5 champis abyssaux|Entrega 5 setas abismales|Consegna 5 funghi abissali||A Wycademy kiddo found *hiccup* a boutique urn... I mean a *hiccup* Unique Fern! It's bitter, yet sweet, which would go great with my nightly tipple. *hiccup* Be a pal and nab me some of them, won't ya?|Einer von der Wykademie hat *hicks* einen Einmaligen Farn aufgetrieben! Schmeckt bitter und süß, ideal für einen kleinen *hicks* Schlummertrunk. Bring mir ein paar, ja?|Un gamin de la Wycadémie a trouvé *hips* une congère... Pardon, une *hips* fougère unique ! Son goût doux-amer irait bien avec mon verre du soir. *hips* Soyez sympa et allez m'en chercher !|Un chaval de la Wycademia ¡hic! encontró un hecho... ¡hic! digo helecho único. Es amargo y dulce, me iría muy bien para mi trago de buenas noches. ¡Hic! ¿Me vas a buscar algunos?|Un tizio della Wyccademia ha *hic* trovato una falce speziata... Cioè, una felce speciale! È amara e dolce, sarebbe ottima per i miei cicchetti notturni. *Hic* Me ne porteresti qualcuna?||600|10|0|1
211|17|Jurassic Frontier Accounting|Buchhaltung: Jura-Grenzland|À point nommé : Frontière|Objetivo Fronda Arcaica|Punti alla frontiera||Earn 1000 Wycademy Points|Sammle 1000 Wykademie-Punkte.|Obtenir 1000 points Wycadémie|Gana 1.000 puntos Wycademia|Ottieni 1000 punti Wyccademia||Village|0|LR|3|0|2|1|50|200|1500|100|Hunt a Great Maccao|Einen Groß-Maccao erjagen|Chasser 1 Grand Maccao|Caza un Gran Maccao|Caccia un Gran Maccao||Young Hunter, your hands seem idle. Would you care to busy yourself collecting points for me in the Jurassic Frontier? Any items are fine, as long as you meet the quota. Take care, now.|Dir scheint irgendwie total langweilig zu sein. Magst du vielleicht für mich im Jura- Grenzland Punkte sammeln gehen? Die Objekte sind ganz egal, solange die Punktzahl stimmt. Und sei vorsichtig!|Vous tombez bien ! Pourriez-vous livrer des objets bonus à la Frontière jurassique ? Peu importe les objets tant que vous atteignez le quota de points !|Se te ve ocioso, joven. ¿Querrías dedicarte a obtener puntos para mí en la Fronda Arcaica? Cualquier objeto me sirve, mientras alcances el objetivo. Ve con cuidado.|Ehi, giovine! Per caso ti stai annoiando? Se non hai altro da fare, perché non vai a caccia di punti nella frontiera giurassica? Ogni oggetto conta, l'importante è raggiungere la quota!||900|70|0|2
212|18|Gendrome Roadblock|Gendrome-Straßensperre|Barrage de Gendrome|Bloqueo Gendrome|Ingorgo di Gendrome||Hunt a Gendrome|Erjage einen Gendrome.|Chasser 1 Gendrome|Caza un Gendrome|Caccia un Gendrome||Village|1|LR|0|0|2|5|50|100|1200|90|Slay 5 Genprey|5 Genprey erlegen|Tuer 5 Genprey|Abate a 5 Genprey|Uccidi 5 Genprey||I've been ferrying goods for a big deal coming up, only packs of Genprey keep messing things up. I'd bet there's an alpha behind it. Take 'em out so my deal won't fall through!|Beim Warentransport für ein wichtiges Geschäft kamen mir Genprey in die Quere. Bestimmt steckt da so ein Alpha dahinter. Mach sie unschädlich, damit mein Geschäft nicht scheitert!|Je transporte de la marchandise pour un gros contrat, mais des Genprey m'attaquent sans cesse. Il doit y avoir un alpha dans la meute. Tuez-le ou mon contrat tombe à l'eau.|Llevo mercancías para un negocio importante, pero hay manadas de Genprey que me ponen las cosas difíciles. Apuesto a que hay un alfa detrás. ¡Salva mi negocio! ¡Mátalos!|Sto trasportando delle merci per un importante affare, ma un gruppo di Genprey mi tormenta. Scommetto che c'è un alfa dietro! Devi farli fuori, altrimenti il mio accordo salterà!||600|10|0|0
213|19|The Land Sharq|Der Landhai|Le requin terrestre|El tiburón terrestre|Lo squalo di terra||Hunt a Cephadrome|Erjage einen Cephadrome.|Chasser 1 Cephadrome|Caza un Cephadrome|Caccia un Cephadrome||Village|1|LR|0|0|2|5|50|200|1500|100|Mount and topple monster twice|2x Monster besteigen + umwerfen|Monter & renverser le monstre 2 fois|Monta y derriba 2 veces al mons.|Cavalca e rovescia mostro x2||Argh, my wagon just got marooned in the Dunes! Now, I haven't seen anything fishy out here -- yet -- but I just know there's something waiting to get at my stuff! Find it and let 'em have it!|Oh weh, mein Wagen sitzt fest in den Dünen! Dort sieht es ruhig aus, aber mit Sicherheit lauert etwas im Verborgenen und will meine Sachen! Spüre sie auf und erteile ihnen eine Lektion!|Zut, mon chariot est coincé dans les Dunes ! Je n'y ai rien vu de menaçant, mais je sais que ma marchandise a attiré l'œil d'un monstre ! Trouvez-le et donnez-lui une bonne leçon !|Argh, ¡mi carro se ha encallado en las Dunas! Todavía no he visto nada raro por ahí, pero sé que algo va a venir a por mis cosas. ¡Encuéntralo y que se lo queden!|Argh, il mio carro è stato lasciato sulle dune! Non ho visto nulla di sospetto lì, non ancora, ma so che c'è qualcosa che brama la mia mercanzia! Ti prego, trovalo e fagliela vedere!||300|10|0|0
214|20|Slay the Genprey!|Töte die Genprey!|Tuez les Genprey !|¡Abate a los Genprey!|Uccidi i Genprey!||Slay 10 Genprey|Erlege 10 Genprey.|Tuer 10 Genprey|Abate a 10 Genprey|Uccidi 10 Genprey||Village|0|LR|1|0|2|5|50|100|900|40|Deliver 2 Carapaceon Brains|2 Carapaceon-Hirne abliefern|Livrer 2 cerveaux Carapaceons|Entrega 2 sesos de carapaceon|Consegna 2 cervelli carapaceon||Th-thanks to the Genprey in the Dunes *ouch* and their Paralyzing attacks, I can't move a *ouch* muscle! My nose itches so bad. Avenge me -- take out ten of them!|D... Dank der Genprey in den Dünen... *aua* und ihrer lähm- enden Angriffe kann ich mich überhaupt... *autsch* nicht mehr bewegen. Meine Nase juckt so schrecklich... Räche mich! Töte 10 von ihnen!|À cause des Genprey des Dunes et leurs attaques paralysantes, je ne peux même plus bouger le petit doigt ! Et j'ai le nez qui me démange ! Vengez-moi en tuant 10 de ces créatures !|Gracias a... a los Genprey de las Dunas... ay... y a sus ataques paralizantes, no puedo... ay... moverme. ¡Y cómo me pica la nariz! Véngame. ¡Mata a 10!|M-Maledetti Genprey delle dune *ahi* e i loro attacchi paralizzanti! Non riesco a muovere *ahi* un muscolo! Come non bastasse, il naso mi prude da impazzire... Vendicami, uccidine dieci!||300|10|0|0
